PARIS,Webmaster@mairie-paris.fr
PARIS-1-ER-ARRONDISSEMENT,maire01@mairie-paris.fr
PARIS-2E-ARRONDISSEMENT,maire02@mairie-paris.fr
PARIS-3E-ARRONDISSEMENT,maire03@mairie-paris.fr
PARIS-4E-ARRONDISSEMENT,maire04@mairie-paris.fr
PARIS-5E-ARRONDISSEMENT,maire05@mairie-paris.fr
PARIS-6E-ARRONDISSEMENT,jplecoq@worldonline.fr
PARIS-7E-ARRONDISSEMENT,maire07@mairie-paris.fr
PARIS-8E-ARRONDISSEMENT,marie-helene.de-lesquen@mairie-paris.fr
PARIS-9E-ARRONDISSEMENT,maire09@mairie-paris.fr
PARIS-10E-ARRONDISSEMENT,maire10@mairie-paris.fr
PARIS-11E-ARRONDISSEMENT,maire11@mairie-paris.fr
PARIS-12E-ARRONDISSEMENT,maire12@mairie-paris.fr
PARIS-13E-ARRONDISSEMENT,maire13@mairie-paris.fr
PARIS-14E-ARRONDISSEMENT,maire14@mairie-paris.fr
PARIS-15E-ARRONDISSEMENT,maire15@mairie-paris.fr
PARIS-16E-ARRONDISSEMENT,maire16@mairie-paris.fr
PARIS-17E-ARRONDISSEMENT,maire17@mairie-paris.fr
PARIS-18E-ARRONDISSEMENT,maire18@mairie-paris.fr
PARIS-19E-ARRONDISSEMENT,maire19@mairie-paris.fr
PARIS-20E-ARRONDISSEMENT,maire20@mairie-paris.fr
